longitude latitude Probability(%)	
95.309330 5.154980 58.366536
95.309330 5.354980 56.505488
95.309330 5.554980 55.600404
95.509330 4.754980 54.057310
95.509330 4.954980 52.125601
95.509330 5.154980 53.119800
95.509330 5.354980 52.099125
95.509330 5.554980 47.233720
95.709330 2.754980 99.784764
95.709330 4.554980 54.712520
95.709330 4.754980 49.568463
95.709330 4.954980 48.066150
95.709330 5.154980 49.883605
95.709330 5.354980 45.555555
95.709330 5.554980 40.893971
95.909330 2.754980 99.793041
95.909330 4.354980 60.371659
95.909330 4.554980 52.806030
95.909330 4.754980 48.588026
95.909330 4.954980 47.779167
95.909330 5.154980 46.432840
95.909330 5.354980 41.970189
96.109330 2.554980 99.808022
96.109330 4.154980 65.645392
96.109330 4.354980 56.010855
96.109330 4.554980 51.312634
96.109330 4.754980 49.837155
96.109330 4.954980 46.844892
96.109330 5.154980 40.801931
96.309330 2.554980 99.815521
96.309330 4.154980 62.298676
96.309330 4.354980 54.967445
96.309330 4.554980 52.248829
96.309330 4.754980 47.560253
96.309330 4.954980 41.802372
96.309330 5.154980 37.614460
96.509330 3.754980 72.678067
96.509330 3.954980 65.883413
96.509330 4.154980 60.217342
96.509330 4.354980 54.201756
96.509330 4.554980 50.197954
96.509330 4.754980 43.000487
96.509330 4.954980 38.311123
96.509330 5.154980 35.232991
96.709330 3.754980 70.053228
96.709330 3.954980 61.579693
96.709330 4.154980 54.003793
96.709330 4.354980 52.047852
96.709330 4.554980 45.501958
96.709330 4.754980 42.422129
96.709330 4.954980 37.646155
96.709330 5.154980 34.121712
96.909330 3.754980 66.491205
96.909330 3.954980 56.176165
96.909330 4.154980 53.475440
96.909330 4.354980 48.051449
96.909330 4.554980 46.166280
96.909330 4.754980 43.346483
96.909330 4.954980 37.059265
96.909330 5.154980 33.530312
97.109330 3.554980 65.327729
97.109330 3.754980 58.440062
97.109330 3.954980 55.146819
97.109330 4.154980 51.880830
97.109330 4.354980 46.332333
97.109330 4.554980 46.082298
97.109330 4.754980 40.135996
97.109330 4.954980 35.441355
97.109330 5.154980 32.772494
97.309330 1.354980 99.880401
97.309330 2.154980 99.860658
