%lon       lat      area     depth_w  grid   subregion  
-69.175   40.225   23.56    98.5     1      4          
-69.175   40.275   23.54    91.4     2      4          
-69.175   40.325   23.52    88.2     3      4          
-69.175   40.375   23.50    82.6     4      4          
-69.175   40.425   23.49    80.7     5      4          
-69.175   40.475   23.47    76.5     6      4          
-69.175   40.525   23.45    73.3     7      4          
-69.175   40.575   23.43    71.4     8      4          
-69.175   40.625   23.42    69.5     9      4          
-69.175   40.675   23.40    62.9     10     4          
-69.175   40.725   23.38    67.8     11     4          
-69.175   40.775   23.36    65.5     12     4          
-69.175   40.825   23.35    66.5     13     4          
-69.175   40.875   23.33    65.0     14     4          
-69.175   40.925   23.31    65.1     15     4          
-69.175   40.975   23.29    59.3     16     4          
-69.175   41.025   23.27    58.3     17     4          
-69.175   41.075   23.26    60.1     18     4          
-69.175   41.125   23.24    72.2     19     4          
-69.175   41.175   23.22    92.0     20     4          
-69.175   41.225   23.20    91.8     21     4          
-69.175   41.275   23.19    96.9     22     4          
-69.175   41.325   23.17    128.6    23     1          
-69.175   41.375   23.15    149.9    24     1          
-69.175   41.425   23.13    149.2    25     1          
-69.175   41.475   23.12    163.0    26     1          
-69.125   40.225   23.56    107.1    27     4          
-69.125   40.275   23.54    94.3     28     4          
-69.125   40.325   23.52    88.6     29     4          
-69.125   40.375   23.50    85.9     30     4          
-69.125   40.425   23.49    82.9     31     4          
-69.125   40.475   23.47    79.3     32     4          
-69.125   40.525   23.45    75.8     33     4          
-69.125   40.575   23.43    72.8     34     4          
-69.125   40.625   23.42    70.4     35     4          
-69.125   40.675   23.40    64.3     36     4          
-69.125   40.725   23.38    63.7     37     4          
-69.125   40.775   23.36    69.4     38     4          
-69.125   40.825   23.35    67.7     39     4          
-69.125   40.875   23.33    72.0     40     4          
-69.125   40.925   23.31    70.8     41     4          
-69.125   40.975   23.29    62.7     42     4          
-69.125   41.025   23.27    68.0     43     4          
-69.125   41.075   23.26    80.4     44     4          
-69.125   41.125   23.24    97.7     45     4          
-69.125   41.175   23.22    102.4    46     4          
-69.125   41.225   23.20    95.4     47     4          
-69.125   41.275   23.19    107.4    48     1          
-69.125   41.325   23.17    154.6    49     1          
-69.125   41.375   23.15    156.7    50     1          
-69.125   41.425   23.13    150.3    51     1          
-69.125   41.475   23.12    151.9    52     1          
-69.125   41.525   23.10    164.0    53     1          
-69.075   40.225   23.56    127.7    54     4          
-69.075   40.275   23.54    97.9     55     4          
-69.075   40.325   23.52    91.2     56     4          
-69.075   40.375   23.50    86.2     57     4          
-69.075   40.425   23.49    81.5     58     4          
-69.075   40.475   23.47    78.6     59     4          
-69.075   40.525   23.45    75.1     60     4          
-69.075   40.575   23.43    70.8     61     4          
-69.075   40.625   23.42    70.6     62     4          
-69.075   40.675   23.40    83.7     63     4          
-69.075   40.725   23.38    78.5     64     4          
-69.075   40.775   23.36    71.4     65     4          
-69.075   40.825   23.35    71.9     66     4          
-69.075   40.875   23.33    70.0     67     4          
-69.075   40.925   23.31    75.4     68     4          
-69.075   40.975   23.29    78.7     69     4          
-69.075   41.025   23.27    81.7     70     4          
-69.075   41.075   23.26    89.5     71     4          
-69.075   41.125   23.24    99.4     72     4          
-69.075   41.175   23.22    110.9    73     4          
-69.075   41.225   23.20    140.9    74     4          
-69.075   41.275   23.19    156.5    75     1          
-69.075   41.325   23.17    159.8    76     1          
-69.075   41.375   23.15    157.3    77     1          
