longitude latitude Probability(%)	
95.309330 5.154980 21.854699
95.309330 5.354980 19.969755
95.309330 5.554980 19.166194
95.509330 4.754980 19.783261
95.509330 4.954980 18.257018
95.509330 5.154980 18.075636
95.509330 5.354980 17.165844
95.509330 5.554980 15.329621
95.709330 2.754980 93.553681
95.709330 4.554980 20.234438
95.709330 4.754980 17.033697
95.709330 4.954980 15.687893
95.709330 5.154980 15.982232
95.709330 5.354980 14.480878
95.709330 5.554980 13.001424
95.909330 2.754980 93.692149
95.909330 4.354980 23.823837
95.909330 4.554980 18.827521
95.909330 4.754980 16.083254
95.909330 4.954980 15.042941
95.909330 5.154980 14.421286
95.909330 5.354980 13.088405
96.109330 2.554980 93.952490
96.109330 4.154980 27.576188
96.109330 4.354980 20.702927
96.109330 4.554980 17.494316
96.109330 4.754980 16.045222
96.109330 4.954980 14.606805
96.109330 5.154980 12.671639
96.309330 2.554980 94.085349
96.309330 4.154980 24.539135
96.309330 4.354980 19.573376
96.309330 4.554980 17.253879
96.309330 4.754980 15.077761
96.309330 4.954980 13.119682
96.309330 5.154980 11.869116
96.509330 3.754980 32.768868
96.509330 3.954980 26.345486
96.509330 4.154980 22.020760
96.509330 4.354980 18.478562
96.509330 4.554980 16.269097
96.509330 4.754980 13.700743
96.509330 4.954980 12.225350
96.509330 5.154980 11.337782
96.709330 3.754980 29.481457
96.709330 3.954980 22.723861
96.709330 4.154980 18.635479
96.709330 4.354980 17.104237
96.709330 4.554980 14.609061
96.709330 4.754980 13.389481
96.709330 4.954980 12.002388
96.709330 5.154980 11.109889
96.909330 3.754980 26.322173
96.909330 3.954980 20.183414
96.909330 4.154980 17.834139
96.909330 4.354980 15.424125
96.909330 4.554980 14.516221
96.909330 4.754980 13.503746
96.909330 4.954980 11.782394
96.909330 5.154980 10.961302
97.109330 3.554980 26.451706
97.109330 3.754980 21.699030
97.109330 3.954980 18.992191
97.109330 4.154980 16.963736
97.109330 4.354980 14.765484
97.109330 4.554980 14.342210
97.109330 4.754980 12.602890
97.109330 4.954980 11.390082
97.109330 5.154980 10.835649
97.309330 1.354980 95.379424
97.309330 2.154980 94.943829
97.309330 3.154980 33.290776
97.309330 3.354980 26.076321
97.309330 3.554980 21.452996
97.309330 3.754980 18.933554
97.309330 3.954980 17.760974
97.309330 4.154980 15.918334
97.309330 4.354980 13.663616
97.309330 4.554980 12.894043
97.309330 4.754980 11.800913
97.309330 4.954980 11.066013
97.309330 5.154980 10.746718
97.509330 0.954980 95.694629
97.509330 1.154980 95.594674
97.509330 1.354980 95.492624
97.509330 2.954980 33.598726
97.509330 3.154980 26.348372
97.509330 3.354980 21.723539
97.509330 3.554980 19.015661
97.509330 3.754980 17.768917
97.509330 3.954980 16.412719
97.509330 4.154980 15.101811
97.509330 4.354980 14.521345
97.509330 4.554980 13.717143
97.509330 4.754980 11.834131
97.509330 4.954980 11.031317
97.509330 5.154980 9.963168
97.709330 0.754980 95.900433
97.709330 0.954980 95.803731
97.709330 1.154980 95.704807
97.709330 2.354980 60.007855
97.709330 2.554980 44.657103
97.709330 2.754980 33.920237
97.709330 2.954980 26.658311
97.709330 3.154980 22.061776
97.709330 3.354980 19.406981
97.709330 3.554980 18.113866
97.709330 3.754980 16.292809
97.709330 3.954980 14.978884
97.709330 4.154980 14.125187
97.709330 4.354980 13.111265
97.709330 4.554980 12.345235
97.709330 4.754980 11.484256
97.709330 4.954980 10.199384
97.909330 0.954980 95.910533
97.909330 2.354980 45.377260
97.909330 2.554980 34.330456
97.909330 2.754980 27.001753
97.909330 2.954980 22.530889
97.909330 3.154980 19.989487
97.909330 3.354980 18.448125
97.909330 3.554980 16.283034
97.909330 3.754980 14.315048
97.909330 3.954980 13.236866
97.909330 4.154980 12.604901
97.909330 4.354980 11.932812
97.909330 4.554980 11.505778
97.909330 4.754980 10.386291
98.109330 2.354980 34.036958
98.109330 2.554980 27.366350
98.109330 2.754980 23.013606
98.109330 2.954980 20.671519
98.109330 3.154980 18.574710
98.109330 3.354980 16.115408
98.109330 3.554980 14.327607
98.109330 3.754980 13.192586
98.109330 3.954980 12.484176
98.109330 4.154980 11.911943
98.109330 4.354980 11.526114
98.309330 2.154980 29.516969
98.309330 2.354980 25.763988
98.309330 2.554980 22.755510
98.309330 2.754980 21.066679
98.309330 2.954980 18.482360
98.309330 3.154980 15.939041
98.309330 3.354980 14.314171
98.309330 3.554980 13.296692
98.309330 3.754980 12.618852
98.309330 3.954980 12.020809
98.509330 -0.245020 96.742393
98.509330 1.954980 29.255899
98.509330 2.154980 24.439749
98.509330 2.354980 20.959485
98.509330 2.554980 20.506335
98.509330 2.754980 18.354263
98.509330 2.954980 17.335198
98.509330 3.154980 14.718833
98.509330 3.354980 13.425789
98.509330 3.554980 12.767571
98.509330 3.754980 12.172892
98.709330 -1.245020 97.208728
98.709330 -1.045020 97.138169
98.709330 0.154980 96.669773
98.709330 1.754980 26.162818
98.709330 1.954980 24.438247
98.709330 2.154980 20.998479
98.709330 2.354980 19.562409
98.709330 2.554980 17.619362
98.709330 2.754980 17.093991
98.709330 2.954980 16.086043
98.709330 3.154980 14.011423
98.709330 3.354980 12.999618
98.709330 3.554980 12.339032
98.709330 3.754980 11.948321
98.909330 -1.645020 97.428101
98.909330 -1.445020 97.362429
98.909330 -1.245020 97.294637
98.909330 -1.045020 97.224862
98.909330 1.154980 29.541833
98.909330 1.354980 27.759774
98.909330 1.554980 24.184905
98.909330 1.754980 21.276604
98.909330 1.954980 20.614368
98.909330 2.154980 19.587610
98.909330 2.354980 17.096464
98.909330 2.554980 16.351644
98.909330 2.754980 16.443346
98.909330 2.954980 14.551790
98.909330 3.154980 13.298712
98.909330 3.354980 12.542484
98.909330 3.554980 12.116060
99.109330 -1.645020 97.510065
99.109330 -1.445020 97.445174
99.109330 0.754980 36.879907
99.109330 0.954980 29.999997
99.109330 1.154980 25.940259
99.109330 1.354980 22.742146
99.109330 1.554980 20.780115
99.109330 1.754980 19.959887
99.109330 1.954980 18.629238
99.109330 2.154980 16.733344
99.109330 2.354980 16.191704
99.109330 2.554980 16.476762
99.109330 2.754980 14.718833
99.109330 2.954980 13.395482
99.109330 3.154980 12.682900
99.109330 3.354980 12.274707
99.109330 3.554980 12.010810
99.309330 0.354980 39.846092
99.309330 0.554980 35.345742
99.309330 0.754980 29.870118
99.309330 0.954980 25.890609
99.309330 1.154980 22.477964
99.309330 1.354980 20.625757
99.309330 1.554980 19.388457
99.309330 1.754980 17.440927
99.309330 1.954980 15.778574
99.309330 2.154980 15.067216
99.309330 2.354980 16.004306
99.309330 2.554980 15.076578
99.309330 2.754980 13.448585
99.309330 2.954980 12.736439
99.309330 3.154980 12.383424
99.309330 3.354980 12.148560
99.509330 0.154980 35.521135
99.509330 0.354980 29.901888
99.509330 0.554980 28.077893
99.509330 0.754980 26.040677
99.509330 0.954980 23.120330
99.509330 1.154980 20.770888
99.509330 1.354980 18.793178
99.509330 1.554980 16.503736
99.509330 1.754980 15.274493
99.509330 1.954980 14.418901
99.509330 2.154980 14.114523
99.509330 2.354980 14.066712
99.509330 2.554980 13.551525
99.509330 2.754980 12.863177
99.509330 2.954980 12.468958
99.509330 3.154980 12.270594
99.709330 -2.245020 97.403595
99.709330 0.154980 27.248575
99.709330 0.354980 25.139479
99.709330 0.554980 24.170021
99.709330 0.754980 21.435746
99.709330 0.954980 20.916810
99.709330 1.154980 18.919227
99.709330 1.354980 16.375309
99.709330 1.554980 14.978810
99.709330 1.754980 14.238674
99.709330 1.954980 13.740620
99.709330 2.154980 13.377248
99.709330 2.354980 13.154326
99.709330 2.554980 12.891046
99.709330 2.754980 12.614730
99.709330 2.954980 12.402389
99.709330 3.154980 12.251576
99.909330 -0.245020 27.513160
99.909330 -0.045020 24.602735
99.909330 0.154980 22.836311
99.909330 0.354980 22.916569
99.909330 0.554980 20.640818
99.909330 0.754980 20.379292
99.909330 0.954980 18.481248
99.909330 1.154980 16.424352
99.909330 1.354980 15.127756
99.909330 1.554980 14.303823
99.909330 1.754980 13.662068
99.909330 1.954980 13.311074
99.909330 2.154980 13.057260
99.909330 2.354980 12.875924
99.909330 2.554980 12.704105
99.909330 2.754980 12.543899
99.909330 2.954980 12.403259
100.109330 -2.645020 97.095266
100.109330 -0.445020 25.763460
100.109330 -0.245020 23.373592
100.109330 -0.045020 22.174992
100.109330 0.154980 21.628551
100.109330 0.354980 20.853248
100.109330 0.554980 19.747202
100.109330 0.754980 17.981321
100.109330 0.954980 16.188869
100.109330 1.154980 15.108224
100.109330 1.354980 14.446539
100.109330 1.554980 13.841475
100.109330 1.754980 13.411865
100.109330 1.954980 13.127650
100.109330 2.154980 12.956328
100.109330 2.354980 12.807633
100.109330 2.554980 12.678483
100.309330 -3.045020 96.835511
100.309330 -0.645020 25.740701
100.309330 -0.445020 23.817044
100.309330 -0.245020 22.262917
100.309330 -0.045020 21.081926
100.309330 0.154980 19.149979
100.309330 0.354980 17.561628
100.309330 0.554980 16.702490
100.309330 0.754980 15.744279
100.309330 0.954980 15.011942
100.309330 1.154980 14.422571
100.309330 1.354980 13.937346
100.309330 1.554980 13.574508
100.309330 1.754980 13.303833
100.309330 1.954980 13.098968
100.309330 2.154980 12.946164
100.309330 2.354980 12.821578
100.309330 2.554980 12.709908
100.309330 5.354980 1.060111
100.309330 6.154980 0.151902
100.309330 6.354980 0.082977
100.309330 6.554980 0.038998
100.509330 -1.245020 31.423877
100.509330 -1.045020 27.356218
100.509330 -0.845020 24.291724
100.509330 -0.645020 23.669361
100.509330 -0.445020 21.909671
100.509330 -0.245020 19.829533
100.509330 -0.045020 18.061645
100.509330 0.154980 16.651644
100.509330 0.354980 15.734991
100.509330 0.554980 15.272470
100.509330 0.754980 14.776159
100.509330 0.954980 14.300657
100.509330 1.154980 13.968318
100.509330 1.354980 13.689093
100.509330 1.554980 13.461196
100.509330 1.754980 13.270872
100.509330 1.954980 13.117210
100.509330 2.154980 12.984167
100.509330 4.954980 2.436702
100.509330 5.154980 1.472520
100.509330 5.354980 0.869946
100.509330 5.554980 0.514723
100.509330 5.754980 0.307227
100.509330 5.954980 0.190841
100.509330 6.154980 0.120609
100.509330 6.354980 0.060323
100.709330 -1.645020 38.425091
100.709330 -1.445020 31.114569
100.709330 -1.245020 26.975992
100.709330 -1.045020 24.762230
100.709330 -0.845020 22.342159
100.709330 -0.645020 20.249348
100.709330 -0.445020 18.531463
100.709330 -0.245020 17.201626
100.709330 -0.045020 16.301913
100.709330 0.154980 15.534167
100.709330 0.354980 15.006243
100.709330 0.554980 14.578170
100.709330 0.754980 14.261206
100.709330 0.954980 13.982932
100.709330 1.154980 13.775361
100.709330 1.354980 13.594368
100.709330 1.554980 13.432623
100.709330 1.754980 13.289078
100.709330 1.954980 13.160640
100.709330 3.954980 11.244560
100.709330 4.154980 8.509351
100.709330 4.354980 5.878604
100.709330 4.554980 3.807285
100.709330 4.754980 2.462392
100.709330 4.954980 1.582491
100.709330 5.154980 1.037678
100.709330 5.354980 0.653256
100.709330 5.554980 0.403560
100.709330 5.754980 0.248385
100.709330 5.954980 0.153235
100.709330 6.154980 0.082977
100.709330 6.354980 0.042661
100.909330 -2.245020 48.810202
100.909330 -2.045020 40.567037
100.909330 -1.845020 36.358042
100.909330 -1.645020 31.116879
100.909330 -1.445020 27.057995
100.909330 -1.245020 24.452091
100.909330 -1.045020 21.364984
100.909330 -0.845020 19.104647
100.909330 -0.645020 17.559940
100.909330 -0.445020 16.748527
100.909330 -0.245020 16.062985
100.909330 -0.045020 15.522888
100.909330 0.154980 14.928843
100.909330 0.354980 14.553947
100.909330 0.554980 14.273481
100.909330 0.754980 14.067759
100.909330 0.954980 13.883074
100.909330 1.154980 13.723022
100.909330 1.354980 13.585433
100.909330 1.554980 13.456279
100.909330 1.754980 13.333580
100.909330 1.954980 13.218227
100.909330 2.154980 13.109385
100.909330 3.754980 11.392371
100.909330 3.954980 8.616037
100.909330 4.154980 5.948233
100.909330 4.354980 3.848323
100.909330 4.554980 2.488075
100.909330 4.754980 1.597252
100.909330 4.954980 1.047574
100.909330 5.154980 0.689348
100.909330 5.354980 0.462310
100.909330 5.554980 0.302242
100.909330 5.754980 0.194499
100.909330 5.954980 0.124270
100.909330 6.154980 0.060323
101.109330 -2.445020 48.455068
101.109330 -2.245020 37.628286
101.109330 -2.045020 30.469286
101.109330 -1.845020 28.598661
101.109330 -1.645020 26.703846
101.109330 -1.445020 23.890659
101.109330 -1.245020 20.745741
101.109330 -1.045020 18.541229
101.109330 -0.845020 17.232787
101.109330 -0.645020 16.477756
101.109330 -0.445020 15.904164
101.109330 -0.245020 15.478645
101.109330 -0.045020 15.023215
101.109330 0.154980 14.649026
101.109330 0.354980 14.363447
101.109330 0.554980 14.179398
101.109330 0.754980 14.015597
101.109330 0.954980 13.874168
101.109330 1.154980 13.742285
101.109330 1.354980 13.623157
101.109330 1.554980 13.505019
101.109330 1.754980 13.395381
101.109330 1.954980 13.285604
101.109330 2.154980 13.178007
101.109330 3.554980 9.388352
101.109330 3.754980 8.725943
101.109330 3.954980 6.017811
101.109330 4.154980 3.892865
101.109330 4.354980 2.513752
101.109330 4.554980 1.613325
101.109330 4.754980 1.053842
101.109330 4.954980 0.695639
101.109330 5.154980 0.467287
101.109330 5.354980 0.313542
101.109330 5.554980 0.215790
101.309330 -2.645020 48.131373
101.309330 -2.445020 37.443183
101.309330 -2.245020 30.571907
101.309330 -2.045020 26.539703
101.309330 -1.845020 24.092104
101.309330 -1.645020 21.900796
101.309330 -1.445020 19.785130
101.309330 -1.245020 18.135333
101.309330 -1.045020 16.950875
101.309330 -0.845020 16.218410
101.309330 -0.645020 15.775102
101.309330 -0.445020 15.393216
101.309330 -0.245020 15.043032
101.309330 -0.045020 14.768434
101.309330 0.154980 14.531708
101.309330 0.354980 14.330889
101.309330 0.554980 14.170523
101.309330 0.754980 14.037945
101.309330 0.954980 13.914922
101.309330 1.154980 13.797183
101.309330 1.354980 13.683600
101.309330 1.554980 13.572175
101.309330 1.754980 13.462622
101.309330 1.954980 13.358419
101.309330 3.154980 9.583574
101.309330 3.354980 8.906498
101.309330 3.554980 6.136789
101.309330 3.754980 5.258146
101.309330 3.954980 3.933865
101.309330 4.154980 2.539422
101.309330 4.354980 1.629396
101.309330 4.554980 1.065057
101.309330 4.754980 0.700604
101.309330 4.954980 0.468616
101.309330 5.154980 0.317196
101.309330 5.354980 0.217123
101.309330 5.554980 0.146909
101.309330 5.754980 0.094302
101.509330 -3.045020 47.427218
101.509330 -2.845020 39.412006
101.509330 -2.645020 35.496879
101.509330 -2.445020 30.683849
101.509330 -2.245020 26.565911
101.509330 -2.045020 22.835040
101.509330 -1.845020 19.946492
101.509330 -1.645020 18.354191
101.509330 -1.445020 17.376424
101.509330 -1.245020 16.602969
101.509330 -1.045020 15.996357
101.509330 -0.845020 15.561445
101.509330 -0.645020 15.179723
101.509330 -0.445020 14.959724
101.509330 -0.245020 14.862137
101.509330 -0.045020 14.676033
101.509330 0.154980 14.506622
101.509330 0.354980 14.353155
101.509330 0.554980 14.216571
101.509330 0.754980 14.093802
101.509330 0.954980 13.977457
101.509330 1.154980 13.864111
101.509330 1.354980 13.754928
101.509330 1.554980 13.646760
101.509330 1.754980 12.525809
101.509330 1.954980 10.087624
101.509330 2.754980 9.159707
101.509330 2.954980 6.299043
101.509330 3.154980 5.667208
101.509330 3.354980 5.357896
101.509330 3.554980 4.008451
101.509330 3.754980 2.899388
101.509330 3.954980 2.328990
101.509330 4.154980 1.644150
101.509330 4.354980 1.074950
101.509330 4.554980 0.706895
101.509330 4.754980 0.473592
101.509330 4.954980 0.318527
101.509330 5.154980 0.217123
101.509330 5.354980 0.151902
101.509330 5.554980 0.097964
101.509330 5.754980 0.055326
101.709330 -3.245020 47.047659
101.709330 -3.045020 36.417190
101.709330 -2.845020 29.490591
101.709330 -2.645020 28.017695
101.709330 -2.445020 25.447559
101.709330 -2.245020 22.089581
101.709330 -2.045020 19.275451
101.709330 -1.845020 17.509641
101.709330 -1.645020 16.420125
101.709330 -1.445020 15.998887
101.709330 -1.245020 15.628706
101.709330 -1.045020 15.321847
101.709330 -0.845020 14.975330
101.709330 -0.645020 14.757924
101.709330 -0.445020 14.669779
101.709330 -0.245020 14.659815
101.709330 -0.045020 14.671475
101.709330 0.154980 14.535399
101.709330 0.354980 14.404528
101.709330 0.554980 14.282029
101.709330 0.754980 14.164792
101.709330 0.954980 14.052841
101.709330 1.154980 13.940743
101.709330 1.354980 13.831657
101.709330 1.554980 12.694482
101.709330 1.754980 9.564282
101.709330 1.954980 6.564172
101.709330 2.754980 5.497873
101.709330 2.954980 4.106002
101.709330 3.154980 3.078225
101.709330 3.354980 2.950518
101.709330 3.554980 2.369354
101.709330 3.754980 1.670049
101.709330 3.954980 1.341380
101.709330 4.154980 1.016562
101.709330 4.354980 0.711860
101.709330 4.554980 0.477240
101.709330 4.754980 0.323511
101.709330 4.954980 0.220779
101.709330 5.154980 0.151902
101.709330 5.354980 0.097964
101.709330 5.554980 0.055326
101.709330 5.754980 0.032665
101.909330 -3.445020 38.421383
101.909330 -3.245020 34.301123
101.909330 -3.045020 29.277319
101.909330 -2.845020 25.438854
101.909330 -2.645020 23.048265
101.909330 -2.445020 20.762131
101.909330 -2.245020 18.616151
101.909330 -2.045020 17.194169
101.909330 -1.845020 16.146904
101.909330 -1.645020 15.479798
101.909330 -1.445020 15.133927
101.909330 -1.245020 14.920336
101.909330 -1.045020 14.691134
101.909330 -0.845020 14.539697
101.909330 -0.645020 14.469575
101.909330 -0.445020 14.459588
101.909330 -0.245020 14.495789
101.909330 -0.045020 14.561034
101.909330 0.154980 14.595203
101.909330 0.354980 14.474119
101.909330 0.554980 14.357145
101.909330 0.754980 14.241157
101.909330 0.954980 14.129305
101.909330 1.154980 14.017307
101.909330 1.354980 12.867186
101.909330 2.554980 3.151220
101.909330 2.754980 3.021019
101.909330 2.954980 2.422066
101.909330 3.154980 1.707084
101.909330 3.354980 1.612012
101.909330 3.554980 1.362427
101.909330 3.754980 1.031408
101.909330 3.954980 0.774064
101.909330 4.154980 0.615825
101.909330 4.354980 0.457333
101.909330 4.554980 0.323511
101.909330 4.754980 0.222112
101.909330 4.954980 0.151902
101.909330 5.154980 0.097964
101.909330 5.354980 0.055326
101.909330 5.554980 0.032665
101.909330 5.754980 0.016334
102.109330 -3.445020 28.453275
102.109330 -3.245020 26.448028
102.109330 -3.045020 24.742157
102.109330 -2.845020 22.201984
102.109330 -2.645020 19.118160
102.109330 -2.445020 17.686292
102.109330 -2.245020 16.621898
102.109330 -2.045020 15.842217
102.109330 -1.845020 15.273866
102.109330 -1.645020 14.859913
102.109330 -1.445020 14.475019
102.109330 -1.245020 14.336049
102.109330 -1.045020 14.272337
102.109330 -0.845020 14.245177
102.109330 -0.645020 14.257747
102.109330 -0.445020 14.296322
102.109330 -0.245020 14.360576
102.109330 -0.045020 14.438759
102.109330 0.154980 14.527701
102.109330 0.354980 14.550208
102.109330 0.554980 14.437617
102.109330 0.754980 14.321737
102.109330 0.954980 14.209990
102.109330 1.154980 14.096951
102.109330 1.354980 12.935999
102.109330 1.554980 8.395827
102.109330 2.354980 1.711998
102.109330 2.554980 1.700856
102.109330 2.754980 1.644150
102.109330 2.954980 1.389717
102.109330 3.154980 1.052521
102.109330 3.354980 0.896049
102.109330 3.554980 0.783987
102.109330 3.754980 0.625763
102.109330 3.954980 0.465958
102.109330 4.154980 0.372346
102.109330 4.354980 0.290940
102.109330 4.554980 0.215790
102.109330 4.754980 0.151902
102.109330 4.954980 0.099298
102.109330 5.154980 0.055326
102.109330 5.354980 0.032665
102.109330 5.554980 0.016334
102.109330 5.754980 0.010000
102.109330 5.954980 0.005000
102.109330 6.154980 0.001335
102.309330 -5.445020 94.559710
102.309330 -3.845020 35.350040
102.309330 -3.645020 28.627195
102.309330 -3.445020 24.110797
102.309330 -3.245020 22.389269
102.309330 -3.045020 20.805723
102.309330 -2.845020 18.527413
102.309330 -2.645020 16.834833
102.309330 -2.445020 15.726852
102.309330 -2.245020 15.310589
102.309330 -2.045020 14.933122
102.309330 -1.845020 14.631130
102.309330 -1.645020 14.281786
102.309330 -1.445020 14.069199
102.309330 -1.245020 13.981490
102.309330 -1.045020 14.003847
102.309330 -0.845020 14.041389
102.309330 -0.645020 14.092948
102.309330 -0.445020 14.162793
102.309330 -0.245020 14.242302
102.309330 -0.045020 14.327165
102.309330 0.154980 14.416223
102.309330 0.354980 14.509464
102.309330 0.554980 14.518012
102.309330 0.754980 14.405379
102.309330 1.154980 13.112569
102.309330 1.354980 9.866453
102.309330 2.354980 0.943281
102.309330 2.554980 0.938328
102.309330 2.754980 0.912236
102.309330 2.954980 0.800192
102.309330 3.154980 0.637027
102.309330 3.354980 0.509749
102.309330 3.554980 0.457333
102.309330 3.754980 0.377327
102.309330 3.954980 0.295926
102.309330 4.154980 0.227100
102.309330 4.354980 0.184518
102.309330 4.554980 0.140583
102.309330 4.754980 0.097964
102.309330 4.954980 0.055326
102.309330 5.154980 0.032665
102.309330 5.354980 0.017669
102.309330 5.554980 0.011335
102.309330 5.754980 0.005000
102.309330 5.954980 0.001335
102.309330 6.154980 0.000000
102.509330 -4.045020 35.059307
102.509330 -3.845020 28.393411
102.509330 -3.645020 24.687446
102.509330 -3.445020 21.492306
102.509330 -3.245020 19.297557
102.509330 -3.045020 17.347549
102.509330 -2.845020 16.217912
102.509330 -2.645020 15.401461
102.509330 -2.445020 14.804288
102.509330 -2.245020 14.461072
102.509330 -2.045020 14.236066
102.509330 -1.845020 14.009320
102.509330 -1.645020 13.862130
102.509330 -1.445020 13.791453
102.509330 -1.245020 13.781386
102.509330 -1.045020 13.820176
102.509330 -0.845020 13.889092
102.509330 -0.645020 13.964553
102.509330 -0.445020 14.045393
102.509330 -0.245020 14.130451
102.509330 -0.045020 14.219714
102.509330 0.154980 14.312025
102.509330 0.354980 14.402242
102.509330 0.554980 14.495497
102.509330 0.954980 14.369991
102.509330 2.154980 0.980589
102.509330 2.354980 0.573408
102.509330 2.554980 0.530973
102.509330 2.754980 0.519697
102.509330 2.954980 0.467287
102.509330 3.154980 0.387289
102.509330 3.354980 0.300911
102.509330 3.554980 0.269665
102.509330 3.754980 0.232089
102.509330 3.954980 0.184518
102.509330 4.154980 0.141917
102.509330 4.354980 0.114282
102.509330 4.554980 0.076647
102.509330 4.754980 0.050328
102.509330 4.954980 0.032665
102.509330 5.154980 0.017669
102.509330 5.354980 0.011335
102.509330 5.554980 0.005000
102.509330 5.754980 0.001335
102.709330 -4.245020 33.013148
102.709330 -4.045020 28.261530
102.709330 -3.845020 24.449065
102.709330 -3.645020 21.096385
102.709330 -3.445020 18.565988
102.709330 -3.245020 16.846504
102.709330 -3.045020 15.368481
102.709330 -2.845020 14.852004
102.709330 -2.645020 14.469067
102.709330 -2.445020 14.165428
102.709330 -2.245020 13.805559
102.709330 -2.045020 13.670971
102.709330 -1.845020 13.605610
102.709330 -1.645020 13.578239
102.709330 -1.445020 13.587740
102.709330 -1.245020 13.625464
102.709330 -1.045020 13.685905
102.709330 -0.845020 13.765855
102.709330 -0.645020 13.851190
102.709330 -0.445020 13.936440
102.709330 -0.245020 14.025905
102.709330 -0.045020 14.115276
102.709330 0.154980 14.205701
102.709330 0.354980 14.298026
102.709330 0.554980 14.388258
102.709330 0.954980 14.450450
102.709330 1.954980 1.336447
102.709330 2.154980 0.738004
102.709330 2.354980 0.452356
102.709330 2.554980 0.307227
102.709330 2.754980 0.302242
102.709330 2.954980 0.274651
102.709330 3.154980 0.233421
102.709330 3.354980 0.189508
102.709330 3.554980 0.161886
102.709330 3.754980 0.140583
102.709330 3.954980 0.114282
102.709330 4.154980 0.081643
102.709330 4.354980 0.055326
102.709330 4.554980 0.038998
102.709330 4.754980 0.027667
102.709330 4.954980 0.016334
102.709330 5.154980 0.010000
102.709330 5.354980 0.005000
102.709330 5.554980 0.001335
102.909330 -4.445020 27.222859
102.909330 -4.245020 25.361244
102.909330 -4.045020 23.679791
102.909330 -3.845020 20.700315
102.909330 -3.645020 17.890490
102.909330 -3.445020 16.118433
102.909330 -3.245020 15.145308
102.909330 -3.045020 14.395776
102.909330 -2.845020 14.009638
102.909330 -2.645020 13.768209
102.909330 -2.445020 13.541380
102.909330 -2.245020 13.396563
102.909330 -2.045020 13.329838
102.909330 -1.845020 13.349188
102.909330 -1.645020 13.382685
102.909330 -1.445020 13.434640
102.909330 -1.245020 13.500695
102.909330 -1.045020 13.576496
102.909330 -0.845020 13.656548
102.909330 -0.645020 13.743142
102.909330 -0.445020 13.832808
102.909330 -0.245020 13.922380
102.909330 -0.045020 14.011859
102.909330 0.154980 14.102393
102.909330 0.354980 14.191685
102.909330 0.554980 14.280884
102.909330 0.954980 13.371414
102.909330 1.954980 1.221263
102.909330 2.154980 0.685708
102.909330 2.354980 0.393600
102.909330 2.554980 0.232089
102.909330 2.754980 0.178194
102.909330 2.954980 0.163219
102.909330 3.154980 0.141917
102.909330 3.354980 0.119276
102.909330 3.554980 0.087973
102.909330 3.754980 0.071651
102.909330 3.954980 0.055326
102.909330 4.154980 0.038998
102.909330 4.354980 0.027667
102.909330 4.554980 0.017669
102.909330 4.754980 0.011335
102.909330 4.954980 0.006335
102.909330 5.154980 0.005000
102.909330 5.354980 0.001335
103.109330 -4.445020 22.486441
103.109330 -4.245020 20.943945
103.109330 -4.045020 19.589734
103.109330 -3.845020 17.368491
103.109330 -3.645020 15.857972
103.109330 -3.445020 14.813969
103.109330 -3.245020 14.175182
103.109330 -3.045020 13.757870
103.109330 -2.845020 13.353842
103.109330 -2.645020 13.214209
103.109330 -2.445020 13.148502
103.109330 -2.245020 13.124170
103.109330 -2.045020 13.130538
103.109330 -1.845020 13.172802
103.109330 -1.645020 13.239057
103.109330 -1.445020 13.310753
103.109330 -1.245020 13.386720
103.109330 -1.045020 12.466595
103.109330 -0.845020 13.556901
103.109330 -0.645020 13.643595
103.109330 -0.445020 13.733364
103.109330 -0.245020 13.823040
103.109330 -0.045020 13.909468
103.109330 0.154980 13.998960
103.109330 0.354980 14.088360
103.109330 0.754980 13.189870
103.109330 1.754980 1.707084
103.109330 1.954980 0.996763
103.109330 2.154980 0.583350
103.109330 2.354980 0.344775
103.109330 2.554980 0.205811
103.109330 2.754980 0.124270
103.109330 2.954980 0.087973
103.109330 3.154980 0.076647
103.109330 3.354980 0.055326
103.109330 3.554980 0.038998
103.109330 3.754980 0.034000
103.109330 3.954980 0.027667
103.109330 4.154980 0.017669
103.109330 4.354980 0.011335
103.109330 4.554980 0.010000
103.109330 4.754980 0.006335
103.109330 4.954980 0.005000
103.109330 5.154980 0.001335
103.109330 5.354980 0.000000
103.309330 -4.645020 22.414840
103.309330 -4.445020 19.665813
103.309330 -4.245020 17.334610
103.309330 -4.045020 16.348554
103.309330 -3.845020 15.322210
103.309330 -3.645020 14.542054
103.309330 -3.445020 13.976677
103.309330 -3.245020 13.570507
103.309330 -3.045020 13.172261
103.309330 -2.845020 12.965626
103.309330 -2.645020 12.884339
103.309330 -2.445020 12.900597
103.309330 -2.245020 12.933105
103.309330 -2.045020 12.982140
103.309330 -1.845020 13.047379
103.309330 -1.645020 13.123578
103.309330 -1.445020 13.200868
103.309330 -1.245020 12.296311
103.309330 -1.045020 9.403152
103.309330 -0.845020 10.106805
103.309330 -0.645020 10.168815
103.309330 -0.445020 10.234072
