longitude latitude PGA(g)	
95.309330 5.154980 0.168878
95.309330 5.354980 0.161460
95.309330 5.554980 0.158432
95.509330 4.754980 0.162602
95.509330 4.954980 0.156481
95.509330 5.154980 0.154918
95.509330 5.354980 0.151440
95.509330 5.554980 0.145072
95.709330 2.754980 0.499830
95.709330 4.554980 0.164289
95.709330 4.754980 0.152255
95.709330 4.954980 0.146465
95.709330 5.154980 0.147179
95.709330 5.354980 0.141826
95.709330 5.554980 0.136198
95.909330 2.754980 0.501880
95.909330 4.354980 0.176641
95.909330 4.554980 0.158902
95.909330 4.754980 0.148120
95.909330 4.954980 0.143785
95.909330 5.154980 0.141441
95.909330 5.354980 0.136319
96.109330 2.554980 0.505888
96.109330 4.154980 0.188975
96.109330 4.354980 0.165512
96.109330 4.554980 0.153330
96.109330 4.754980 0.147546
96.109330 4.954980 0.142160
96.109330 5.154980 0.134612
96.309330 2.554980 0.507942
96.309330 4.154980 0.178055
96.309330 4.354980 0.160805
96.309330 4.554980 0.151906
96.309330 4.754980 0.144008
96.309330 4.954980 0.136573
96.309330 5.154980 0.131377
96.509330 3.754980 0.204293
96.509330 3.954980 0.182630
96.509330 4.154980 0.168226
96.509330 4.354980 0.156311
96.509330 4.554980 0.148447
96.509330 4.754980 0.139076
96.509330 4.954980 0.133078
96.509330 5.154980 0.129083
96.709330 3.754980 0.192300
96.709330 3.954980 0.170407
96.709330 4.154980 0.157132
96.709330 4.354980 0.151416
96.709330 4.554980 0.142577
96.709330 4.754980 0.137736
96.709330 4.954980 0.132086
96.709330 5.154980 0.128033
96.909330 3.754980 0.182006
96.909330 3.954980 0.162850
96.909330 4.154980 0.153989
96.909330 4.354980 0.145480
96.909330 4.554980 0.142049
96.909330 4.754980 0.138122
96.909330 4.954980 0.131071
96.909330 5.154980 0.127290
97.109330 3.554980 0.183835
97.109330 3.754980 0.168204
97.109330 3.954980 0.158197
97.109330 4.154980 0.150972
97.109330 4.354980 0.143103
97.109330 4.554980 0.141394
97.109330 4.754980 0.134508
97.109330 4.954980 0.129340
97.109330 5.154980 0.126676
97.309330 1.354980 0.530975
97.309330 2.154980 0.522621
97.309330 3.154980 0.207358
97.309330 3.354980 0.184191
97.309330 3.554980 0.168286
97.309330 3.754980 0.158444
97.309330 3.954980 0.153753
97.309330 4.154980 0.147307
97.309330 4.354980 0.139060
97.309330 4.554980 0.135831
97.309330 4.754980 0.131229
97.309330 4.954980 0.127868
97.309330 5.154980 0.126257
97.509330 0.954980 0.537448
97.509330 1.154980 0.535304
97.509330 1.354980 0.533235
97.509330 2.954980 0.208290
97.509330 3.154980 0.184994
97.509330 3.354980 0.169132
97.509330 3.554980 0.158897
97.509330 3.754980 0.153905
97.509330 3.954980 0.149093
97.509330 4.154980 0.144347
97.509330 4.354980 0.142167
97.509330 4.554980 0.139115
97.509330 4.754980 0.131354
97.509330 4.954980 0.127710
97.509330 5.154980 0.121933
97.709330 0.754980 0.541961
97.709330 0.954980 0.539829
97.709330 1.154980 0.537689
97.709330 2.354980 0.293750
97.709330 2.554980 0.242798
97.709330 2.754980 0.209233
97.709330 2.954980 0.185875
97.709330 3.154980 0.170049
97.709330 3.354980 0.160115
97.709330 3.554980 0.155074
97.709330 3.754980 0.148828
97.709330 3.954980 0.144039
97.709330 4.154980 0.140816
97.709330 4.354980 0.136800
97.709330 4.554980 0.133594
97.709330 4.754980 0.129852
97.709330 4.954980 0.123227
97.909330 0.954980 0.542146
97.909330 2.354980 0.243978
97.909330 2.554980 0.210182
97.909330 2.754980 0.186744
97.909330 2.954980 0.171195
97.909330 3.154980 0.161830
97.909330 3.354980 0.156235
97.909330 3.554980 0.148917
97.909330 3.754980 0.141848
97.909330 3.954980 0.137641
97.909330 4.154980 0.134920
97.909330 4.354980 0.132034
97.909330 4.554980 0.130089
97.909330 4.754980 0.124222
98.109330 2.354980 0.206424
98.109330 2.554980 0.187665
98.109330 2.754980 0.172442
98.109330 2.954980 0.163828
98.109330 3.154980 0.156761
98.109330 3.354980 0.148512
98.109330 3.554980 0.142091
98.109330 3.754980 0.137734
98.109330 3.954980 0.134737
98.109330 4.154980 0.132182
98.109330 4.354980 0.130363
98.309330 2.154980 0.191619
98.309330 2.354980 0.181062
98.309330 2.554980 0.171521
98.309330 2.754980 0.165050
98.309330 2.954980 0.156637
98.309330 3.154980 0.148106
98.309330 3.354980 0.142253
98.309330 3.554980 0.138312
98.309330 3.754980 0.135481
98.309330 3.954980 0.132819
98.509330 -0.245020 0.562886
98.509330 1.954980 0.191466
98.509330 2.154980 0.176214
98.509330 2.354980 0.165418
98.509330 2.554980 0.163245
98.509330 2.754980 0.156327
98.509330 2.954980 0.152692
98.509330 3.154980 0.143716
98.509330 3.354980 0.139004
98.509330 3.554980 0.136239
98.509330 3.754980 0.133602
98.709330 -1.245020 0.576853
98.709330 -1.045020 0.574558
98.709330 0.154980 0.560914
