time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-29T02:33:28.330Z,34.1363333,-117.7746667,5.46,4.38,mw,208,16,0.03385,0.26,ci,ci38038071,2018-12-19T23:11:11.124Z,"4km N of La Verne, CA",earthquake,0.11,0.48,,6,reviewed,ci,ci
2017-09-19T06:20:44.370Z,34.0866667,-118.4756667,10.48,3.61,ml,167,47,0.02591,0.25,ci,ci37766535,2019-02-08T02:40:32.332Z,"5km NW of Westwood, CA",earthquake,0.13,0.26,0.148,351,reviewed,ci,ci
2015-05-03T11:07:18.080Z,33.9936667,-118.3613333,11.11,3.8,ml,195,25,0.003144,0.25,ci,ci37374008,2016-03-11T08:14:47.219Z,"1km W of View Park-Windsor Hills, CA",earthquake,0.13,0.2,0.174,251,reviewed,ci,ci
2014-06-02T02:36:43.930Z,34.0958333,-118.4911667,4.25,4.16,mw,100,43,,0.22,ci,ci15507801,2016-03-11T20:52:17.518Z,"7km NW of Westwood, CA",earthquake,0.27,0.45,,4,reviewed,ci,ci
2014-03-29T21:32:45.930Z,33.9613333,-117.8923333,9.294,4.14,mw,185,13,0.03055,0.33,ci,ci15483001,2016-03-12T04:14:39.639Z,"2km SE of Rowland Heights, CA",earthquake,0.18,0.34,,6,reviewed,ci,ci
2014-03-29T04:30:51.990Z,33.9161667,-117.9313333,4.005,3.64,ml,141,16,0.00755,0.33,ci,ci15481777,2016-03-11T11:19:30.879Z,"2km SE of La Habra, CA",earthquake,0.2,0.41,0.181,253,reviewed,ci,ci
2014-03-29T04:09:42.170Z,33.9325,-117.9158333,5.09,5.1,mw,321,9,0.01443,0.24,ci,ci15481673,2017-10-22T21:11:34.135Z,"2km NW of Brea, CA",earthquake,0.1,0.21,,6,reviewed,ci,ci
2014-03-17T13:25:36.870Z,34.134,-118.4861667,9.245,4.4,mw,208,40,0.0379,0.28,ci,ci15476961,2017-10-11T20:47:53.226Z,"3km SSE of Encino, CA",earthquake,0.18,0.31,,6,reviewed,ci,ci
2013-09-19T12:06:33.520Z,34.0816667,-117.784,3.328,3.75,ml,154,14,0.01914,0.23,ci,ci11366562,2016-03-12T05:52:03.694Z,"3km SW of La Verne, CA",earthquake,0.17,0.34,0.195,258,reviewed,ci,ci
2013-09-19T11:43:55.910Z,34.0816667,-117.785,2.618,3.68,ml,148,14,0.01912,0.2,ci,ci11366538,2018-08-29T03:29:11.155Z,"3km SW of La Verne, CA",earthquake,0.15,0.24,0.189,259,reviewed,ci,ci
2013-05-15T20:00:06.230Z,33.6583333,-118.3721667,1.083,4.08,mw,69,89,0.08487,0.22,ci,ci15343145,2016-03-16T17:25:04.041Z,"10km S of Rancho Palos Verdes, CA",earthquake,0.31,0.65,,4,reviewed,ci,ci
2012-08-29T20:31:00.350Z,33.906,-117.7876667,9.05,4.13,ml,126,25,,0.2,ci,ci15207433,2016-03-11T16:01:48.136Z,"3km NE of Yorba Linda, CA",earthquake,0.18,0.4,0.166,202,reviewed,ci,ci
