Num	Simulation name	Network	Code	Lat	Lon
0	station.0	NP	129	34.05	-117.264
1	station.1	NP	262	34.57804	-118.11392
2	station.2	NP	283	33.91679	-118.06756
3	station.3	NP	289	34.02	-118.054
4	station.4	WR	303	33.84	-117.19
5	station.5	NP	482	34.0849	-118.15001
6	station.6	WR	557	34.306	-117.313
7	station.7	WR	558	34.305	-117.314
8	station.8	WR	584	34.52	-118.605
9	station.9	NP	637	34.249	-118.479
10	station.10	NP	638	34.06273	-118.46321
11	station.11	NP	655	34.31092	-118.4967
12	station.12	NP	707	33.84904	-117.45483
13	station.13	NP	709	34.04863	-118.11205
14	station.14	NP	710	33.77415	-118.32162
15	station.15	NP	757	34.09657	-118.47959
16	station.16	WR	803	33.85	-117.191
17	station.17	NP	804	33.97693	-118.03642
18	station.18	NP	5029	34.61725	-118.28497
19	station.19	NP	5030	34.52149	-117.99099
20	station.20	NP	5031	34.44356	-117.85255
21	station.21	NP	5032	34.397	-117.807
22	station.22	NP	5034	34.32332	-117.56542
23	station.23	NP	5036	34.1926	-117.42744
24	station.24	NP	5037	34.00437	-117.22403
25	station.25	NP	5076	34.07951	-117.04483
26	station.26	NP	5080	34.07834	-118.69391
27	station.27	NP	5081	34.08377	-118.599
28	station.28	NP	5082	34.05271	-118.45253
29	station.29	NP	5106	33.77674	-118.11899
30	station.30	NP	5161	34.13622	-117.21352
31	station.31	NP	5162	34.07018	-117.12112
32	station.32	NP	5164	34.10922	-117.78362
33	station.33	NP	5229	34.04872	-117.25124
34	station.34	NP	5233	34.05225	-118.26372
35	station.35	NP	5243	33.89538	-118.37678
36	station.36	NP	5246	33.61828	-117.87945
37	station.37	NP	5265	34.235	-117.40764
38	station.38	NP	5275	33.92024	-117.32066
39	station.39	NP	5281	33.65587	-117.85963
40	station.40	NP	5282	34.36013	-117.63026
41	station.41	NP	5285	33.59953	-117.86686
42	station.42	NP	5286	33.65829	-117.93174
43	station.43	NP	5287	33.67795	-117.87015
44	station.44	NP	5288	33.69729	-118.02485
45	station.45	NP	5296	34.13665	-118.12847
46	station.46	NP	5300	34.11053	-117.0986
47	station.47	NP	5326	34.105	-117.2827
48	station.48	NP	5327	34.16521	-117.28855
49	station.49	NP	5328	33.9146	-118.06622
50	station.50	NP	5329	34.06908	-117.27572
51	station.51	NP	5330	34.10348	-117.34895
52	station.52	NP	5331	34.16633	-117.25111
53	station.53	NP	5336	34.14492	-117.21876
54	station.54	NP	5337	33.91683	-118.06563
55	station.55	NP	5339	34.09182	-117.29019
56	station.56	NP	5341	34.05802	-117.30492
57	station.57	NP	5371	34.20588	-117.3671
