
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-05


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, whittier narrows
Station Name:, 
User-Defined Maximum Number of Records:, 80
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 589, -, 1.0, -, 2.3, 5.7, 0.9, "Whittier Narrows-01", 1987, "Alhambra - Fremont School", 5.99, Reverse Oblique, 1.67, 14.66, 549.75, 0.4125, 1.0, RSN589_WHITTIER.A_A-ALH180.AT2, RSN589_WHITTIER.A_A-ALH270.AT2 , RSN589_WHITTIER.A_A-ALH-UP.AT2  
2, RotD50, 590, -, 1.0, -, 2.4, 8.2, 0.4, "Whittier Narrows-01", 1987, "Altadena - Eaton Canyon", 5.99, Reverse Oblique, 8.72, 19.52, 375.16, 0.2625, 1.0, RSN590_WHITTIER.A_A-ALT000.AT2, RSN590_WHITTIER.A_A-ALT090.AT2 , RSN590_WHITTIER.A_A-ALT-UP.AT2  
3, RotD50, 591, -, 1.0, -, 7.0, 14.1, 0.1, "Whittier Narrows-01", 1987, "Anaheim - W Ball Rd", 5.99, Reverse Oblique, 25.81, 29.6, 269.29, 0.7, 1.0, RSN591_WHITTIER.A_A-WBA000.AT2, RSN591_WHITTIER.A_A-WBA090.AT2 , RSN591_WHITTIER.A_A-WBA-UP.AT2  
4, RotD50, 592, -, 1.0, -, 3.0, 10.5, 0.9, "Whittier Narrows-01", 1987, "Arcadia - Campus Dr", 5.99, Reverse Oblique, 4.53, 17.42, 367.53, 0.2, 1.0, RSN592_WHITTIER.A_A-CAM009.AT2, RSN592_WHITTIER.A_A-CAM279.AT2 , RSN592_WHITTIER.A_A-CAM-UP.AT2  
5, RotD50, 593, -, 1.0, -, 5.4, 13.6, 0.1, "Whittier Narrows-01", 1987, "Arleta - Nordhoff Fire Sta", 5.99, Reverse Oblique, 32.56, 36.97, 297.71, 0.2875, 1.0, RSN593_WHITTIER.A_A-ARL180.AT2, RSN593_WHITTIER.A_A-ARL270.AT2 , RSN593_WHITTIER.A_A-ARL-UP.AT2  
6, RotD50, 594, -, 1.0, -, 6.8, 11.9, 0.1, "Whittier Narrows-01", 1987, "Baldwin Park - N Holly", 5.99, Reverse Oblique, 4.34, 16.72, 544.68, 0.1, 1.0, RSN594_WHITTIER.A_A-NHO180.AT2, RSN594_WHITTIER.A_A-NHO270.AT2 , RSN594_WHITTIER.A_A-NHO-UP.AT2  
7, RotD50, 595, -, 1.0, -, 3.6, 10.4, 0.6, "Whittier Narrows-01", 1987, "Bell Gardens - Jaboneria", 5.99, Reverse Oblique, 10.31, 17.79, 267.13, 0.12, 1.0, RSN595_WHITTIER.A_A-JAB207.AT2, RSN595_WHITTIER.A_A-JAB297.AT2 , RSN595_WHITTIER.A_A-JAB-UP.AT2  
8, RotD50, 596, -, 1.0, -, 4.3, 11.7, 0.1, "Whittier Narrows-01", 1987, "Beverly Hills - 12520 Mulhol", 5.99, Reverse Oblique, 25.91, 29.9, 545.66, 0.33, 1.0, RSN596_WHITTIER.A_A-MU2032.AT2, RSN596_WHITTIER.A_A-MU2122.AT2 , RSN596_WHITTIER.A_A-MU2-UP.AT2  
9, RotD50, 597, -, 1.0, -, 5.7, 16.1, 0.2, "Whittier Narrows-01", 1987, "Beverly Hills - 14145 Mulhol", 5.99, Reverse Oblique, 29.09, 32.7, 355.81, 0.23, 1.0, RSN597_WHITTIER.A_A-MUL009.AT2, RSN597_WHITTIER.A_A-MUL279.AT2 , RSN597_WHITTIER.A_A-MUL-UP.AT2  
10, RotD50, 598, -, 1.0, -, 4.8, 11.0, 0.2, "Whittier Narrows-01", 1987, "Big Tujunga_ Angeles Nat F", 5.99, Reverse Oblique, 22.5, 28.5, 550.11, 1.0, 1.0, RSN598_WHITTIER.A_A-TUJ262.AT2, RSN598_WHITTIER.A_A-TUJ352.AT2 , RSN598_WHITTIER.A_A-TUJ-UP.AT2  
11, RotD50, 599, -, 1.0, -, 3.6, 9.2, 0.1, "Whittier Narrows-01", 1987, "Brea - S Flower Av", 5.99, Reverse Oblique, 18.39, 23.42, 322.75, 0.2, 1.0, RSN599_WHITTIER.A_A-FLO020.AT2, RSN599_WHITTIER.A_A-FLO290.AT2 ,  -----   
12, RotD50, 600, -, 1.0, -, 1.9, 9.1, 0.4, "Whittier Narrows-01", 1987, "Brea Dam (Downstream)", 5.99, Reverse Oblique, 19.11, 23.99, 437.5, 0.25, 1.0, RSN600_WHITTIER.A_A-BRD040.AT2, RSN600_WHITTIER.A_A-BRD130.AT2 , RSN600_WHITTIER.A_A-BRD-UP.AT2  
13, RotD50, 601, -, 1.0, -, 6.0, 13.9, 0.2, "Whittier Narrows-01", 1987, "Brea Dam (L Abut)", 5.99, Reverse Oblique, 19.12, 24.0, 437.5, 0.25, 1.0, RSN601_WHITTIER.A_A-BRL040.AT2, RSN601_WHITTIER.A_A-BRL130.AT2 , RSN601_WHITTIER.A_A-BRL-UP.AT2  
14, RotD50, 602, -, 1.0, -, 3.2, 9.7, 0.4, "Whittier Narrows-01", 1987, "Burbank - N Buena Vista", 5.99, Reverse Oblique, 20.37, 26.34, 320.57, 0.3, 1.0, RSN602_WHITTIER.A_A-BUE250.AT2, RSN602_WHITTIER.A_A-BUE340.AT2 , RSN602_WHITTIER.A_A-BUE-UP.AT2  
15, RotD50, 603, -, 1.0, -, 7.5, 16.8, 0.0, "Whittier Narrows-01", 1987, "Calabasas - N Las Virg", 5.99, Reverse Oblique, 52.76, 54.74, 403.72, 0.3, 1.0, RSN603_WHITTIER.A_A-VIR200.AT2, RSN603_WHITTIER.A_A-VIR290.AT2 , RSN603_WHITTIER.A_A-VIR-UP.AT2  
