
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-05


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 9703873
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 11870, -, 1.0, -, 12.9, 21.8, 0.0, "9703873", 2001, "Hawthorne; FAA Bldg", 4.24, strike slip, 16.94, 18.04, 332.33, 0.2, 1.0, RSN11870_9703873_N5243360.AT2, RSN11870_9703873_N5243090.AT2 , RSN11870_9703873_N5243-UP.AT2  
2, SRSS, 11871, -, 1.0, -, 6.5, 12.8, 0.0, "9703873", 2001, "Los Angeles - Acosta Residence", 4.24, strike slip, 20.0, 21.15, 330.03, 0.175, 1.0, RSN11871_9703873_N5396180.AT2, RSN11871_9703873_N5396270.AT2 , RSN11871_9703873_N5396-UP.AT2  
3, SRSS, 11872, -, 1.0, -, 1.6, 4.2, 0.0, "9703873", 2001, "Beverly Hills Pac Bell Bsmt", 4.24, strike slip, 1.8, 6.48, 460.09, 0.15, 1.0, RSN11872_9703873_N5402360.AT2, RSN11872_9703873_N5402090.AT2 , RSN11872_9703873_N5402-UP.AT2  
4, SRSS, 11873, -, 1.0, -, 2.5, 6.4, 0.0, "9703873", 2001, "La Canada - Wald Residence", 4.24, strike slip, 25.3, 26.23, 399.8, 0.325, 1.0, RSN11873_9703873_N5408360.AT2, RSN11873_9703873_N5408090.AT2 , RSN11873_9703873_N5408-UP.AT2  
5, SRSS, 11874, -, 1.0, -, 1.1, 3.9, 0.0, "9703873", 2001, "Los Angeles; Mullholland Fire Station 109 Mullholland Dr (at Fwy 405); 1-story; ground level", 4.24, strike slip, 11.92, 13.45, 425.25, 0.375, 1.0, RSN11874_9703873_N5421360.AT2, RSN11874_9703873_N5421090.AT2 , RSN11874_9703873_N5421-UP.AT2  
6, SRSS, 11875, -, 1.0, -, 3.5, 7.2, 0.0, "9703873", 2001, "Van Nuys - Fire Station No. 39", 4.24, strike slip, 14.75, 16.01, 304.04, 0.2, 1.0, RSN11875_9703873_N5422360.AT2, RSN11875_9703873_N5422090.AT2 , RSN11875_9703873_N5422-UP.AT2  
7, SRSS, 11876, -, 1.0, -, 4.3, 13.9, 0.0, "9703873", 2001, "Sylmar - Fire Station #91", 4.24, strike slip, 28.14, 28.82, 398.94, 0.2375, 1.0, RSN11876_9703873_N5423220.AT2, RSN11876_9703873_N5423310.AT2 , RSN11876_9703873_N5423-UP.AT2  
8, SRSS, 11877, -, 1.0, -, 4.4, 17.6, 0.0, "9703873", 2001, "Reseda - Fire Station 100", 4.24, strike slip, 18.22, 19.25, 287.16, 0.2, 1.0, RSN11877_9703873_N5424180.AT2, RSN11877_9703873_N5424270.AT2 , RSN11877_9703873_N5424-UP.AT2  
9, SRSS, 11878, -, 1.0, -, 4.3, 12.2, 0.0, "9703873", 2001, "Tarzana - Fire Station No. 93", 4.24, strike slip, 18.96, 19.96, 332.51, 0.275, 1.0, RSN11878_9703873_N5427360.AT2, RSN11878_9703873_N5427090.AT2 , RSN11878_9703873_N5427-UP.AT2  
10, SRSS, 11879, -, 1.0, -, 6.3, 12.8, 0.0, "9703873", 2001, "Chatsworth; Fire Station 96 Marilla St; 1-story; ground level", 4.24, strike slip, 28.36, 29.03, 282.5, 0.2375, 1.0, RSN11879_9703873_N5428360.AT2, RSN11879_9703873_N5428090.AT2 , RSN11879_9703873_N5428-UP.AT2  
11, SRSS, 11880, -, 1.0, -, 10.5, 18.5, 0.0, "9703873", 2001, "Compton; Cressey Park Fire Station 3 Rosecrans Ave ;2-story;ground level", 4.24, strike slip, 20.91, 21.93, 334.78, 0.25, 1.0, RSN11880_9703873_N5429360.AT2, RSN11880_9703873_N5429090.AT2 , RSN11880_9703873_N5429-UP.AT2  
12, SRSS, 11881, -, 1.0, -, 4.0, 9.0, 0.0, "9703873", 2001, "Jensen Filter Plant Administrative Building", 4.24, strike slip, 29.57, 30.22, 373.07, 0.25, 1.0, RSN11881_9703873_NS655022.AT2, RSN11881_9703873_NS655112.AT2 , RSN11881_9703873_NS655-UP.AT2  
13, SRSS, 11882, -, 1.0, -, 0.4, 2.1, 0.0, "9703873", 2001, "Los Angeles; Sepulveda Canyon", 4.24, strike slip, 8.8, 10.77, 681.24, 0.2625, 1.0, RSN11882_9703873_NS757256.AT2, RSN11882_9703873_NS757166.AT2 , RSN11882_9703873_NS757-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-11870 SRSS pSa (g),RSN-11871 SRSS pSa (g),RSN-11872 SRSS pSa (g),RSN-11873 SRSS pSa (g),RSN-11874 SRSS pSa (g),RSN-11875 SRSS pSa (g),RSN-11876 SRSS pSa (g),RSN-11877 SRSS pSa (g),RSN-11878 SRSS pSa (g),RSN-11879 SRSS pSa (g),RSN-11880 SRSS pSa (g),RSN-11881 SRSS pSa (g),RSN-11882 SRSS pSa (g)
0.01,0.04002949,0.08353839,0.01918112,0.00962145,0.02716926,0.11698801,0.03545563,0.04273064,0.05299861,0.03169358,0.02863311,0.02865411,0.0124972,0.01858823,0.02688754,0.08846601
0.02,0.04055115,0.08353862,0.01968425,0.00984183,0.02787219,0.1159305,0.03695987,0.043649,0.0540957,0.03183925,0.02898815,0.02939317,0.01271921,0.01892135,0.02720838,0.08974629
0.022,0.04068973,0.08368706,0.01978387,0.00994278,0.0278023,0.11624118,0.03755131,0.04371036,0.05450903,0.03182184,0.02908459,0.02956527,0.01279693,0.01902489,0.02725801,0.08965795
0.025,0.04111118,0.08407831,0.02010184,0.01029503,0.02883605,0.11659929,0.03853562,0.04406062,0.05573283,0.03194054,0.02903647,0.03012635,0.01281475,0.01908759,0.02734542,0.09003474
0.029,0.04206685,0.08547367,0.02070368,0.01050631,0.02968461,0.11824764,0.03970107,0.04618053,0.05887396,0.03215427,0.02943463,0.03119903,0.01304729,0.01954716,0.02755516,0.09073737
0.03,0.04231397,0.08577765,0.02087341,0.01073741,0.02991957,0.11861189,0.04053476,0.04653597,0.05939261,0.03218831,0.02961378,0.03124032,0.01308759,0.01964982,0.0276013,0.09096833
0.032,0.0426848,0.08603712,0.02117681,0.01101919,0.03094145,0.11931783,0.04216757,0.04672398,0.05926375,0.03226047,0.02988626,0.03180472,0.01314582,0.01971966,0.02779949,0.09085221
0.035,0.04376163,0.08832852,0.02168133,0.01162494,0.03309459,0.12313228,0.0434115,0.04928282,0.05985738,0.0323904,0.0297801,0.03260704,0.01328074,0.02011517,0.02800451,0.09231967
0.036,0.04417343,0.08942828,0.02181963,0.01167438,0.0336813,0.12496746,0.04388864,0.04997012,0.06007883,0.03247292,0.0296387,0.03298562,0.01339564,0.02028915,0.02814498,0.09306681
0.04,0.04546774,0.09298675,0.02223237,0.01179073,0.03549455,0.1293874,0.0479504,0.04878998,0.06305529,0.03250531,0.02973511,0.03149705,0.01360452,0.02174878,0.02835607,0.09716546
0.042,0.04570548,0.0928342,0.02250238,0.01225261,0.03679728,0.12872389,0.04823482,0.04733982,0.06480384,0.03264683,0.02957095,0.03230568,0.01351036,0.02194002,0.028672,0.09737309
0.044,0.04693439,0.0939192,0.02345459,0.01311335,0.03977343,0.12949389,0.04875364,0.04810208,0.07076749,0.03280967,0.03093091,0.03456181,0.01360283,0.02201322,0.02896642,0.0972583
0.045,0.04804905,0.09689712,0.02382641,0.01332079,0.04206251,0.13552848,0.05015549,0.04806691,0.07294613,0.03284099,0.03159942,0.03578046,0.01393559,0.02217887,0.02913616,0.09708581
0.046,0.04862562,0.09784248,0.02416589,0.01324139,0.04382352,0.13776065,0.05227512,0.04795575,0.0729263,0.03285466,0.03191004,0.0369725,0.01421552,0.02237398,0.02931322,0.09651041
0.048,0.04974436,0.09938393,0.02489841,0.01475522,0.04441967,0.14054888,0.05766137,0.04827257,0.07202073,0.0328878,0.03212337,0.03883877,0.01450844,0.02329165,0.02971533,0.09763289
0.05,0.05116165,0.10347829,0.0252953,0.0166272,0.04199181,0.14728721,0.06153853,0.04983398,0.07232543,0.03284103,0.03246814,0.04003697,0.01485161,0.02411503,0.03000423,0.1011803
0.055,0.05385458,0.10754442,0.02696853,0.01736473,0.04483907,0.14996132,0.0652424,0.05467887,0.07519867,0.03418006,0.03623202,0.04369835,0.01630894,0.02211898,0.03108112,0.10920497
0.06,0.05634295,0.11106161,0.02858349,0.01860317,0.05363439,0.15556959,0.07358286,0.05346735,0.07493647,0.03596007,0.03505124,0.04943634,0.01659106,0.02289104,0.03257422,0.1101606
0.065,0.06187702,0.12187018,0.03141675,0.02306239,0.06144885,0.17462124,0.08584924,0.05902433,0.08791476,0.03681171,0.03738539,0.05301408,0.01791321,0.02453795,0.03554042,0.10727763
0.067,0.06364418,0.12322931,0.03287028,0.02525946,0.06386696,0.17566888,0.09061475,0.06191613,0.09643871,0.03699903,0.03832996,0.05415805,0.01842556,0.02633491,0.03644072,0.10292123
0.07,0.06591262,0.12531932,0.03466723,0.02774722,0.06567634,0.17662827,0.0955341,0.06534767,0.10053064,0.03652739,0.03951629,0.05825998,0.01876151,0.02946417,0.03756208,0.10530836
0.075,0.0703868,0.1337073,0.03705334,0.02764189,0.06342412,0.18288295,0.10728958,0.06716459,0.10440035,0.03824465,0.04604366,0.06364058,0.0201873,0.03193273,0.03891227,0.1232637
0.08,0.0766192,0.15219026,0.03857344,0.03173537,0.066598,0.21512003,0.12614287,0.06629533,0.11690169,0.04000397,0.05180346,0.06071431,0.02234527,0.03203322,0.04295624,0.12339978
0.085,0.08224061,0.16456773,0.04109869,0.03103148,0.06778172,0.22784508,0.14585349,0.06668606,0.12515692,0.04203669,0.05524178,0.06550207,0.02632523,0.03194519,0.04897102,0.13475118
0.09,0.08395679,0.15870553,0.04441397,0.02826271,0.07290175,0.20501613,0.14694564,0.07250001,0.12044779,0.04440872,0.05760889,0.0657725,0.0303406,0.03737312,0.05330932,0.15655105
0.095,0.08311452,0.15984933,0.04321584,0.02639606,0.06089093,0.20557683,0.13903611,0.07771293,0.11260486,0.046966,0.05979188,0.05795815,0.03335674,0.0397641,0.04951073,0.17092339
0.1,0.08306075,0.15867106,0.04348044,0.02515432,0.05900616,0.19783087,0.12233325,0.09429765,0.11888085,0.04938171,0.06189883,0.05172624,0.0338444,0.03936797,0.04659994,0.17946756
0.11,0.09203375,0.1871363,0.04526226,0.0265996,0.06008795,0.22963745,0.08255879,0.14105815,0.13892529,0.05720562,0.07233295,0.05296016,0.036724,0.03396442,0.04929259,0.21509184
0.12,0.09898912,0.20186172,0.04854237,0.02881717,0.06460408,0.23686125,0.08255139,0.16947039,0.14700781,0.06895617,0.06655751,0.05954569,0.04111657,0.02650832,0.06020512,0.23465712
0.13,0.1007427,0.20060032,0.05059359,0.02766219,0.08523727,0.23391524,0.07839971,0.17567604,0.14616287,0.07809517,0.05567711,0.06443731,0.03825551,0.0290243,0.06605833,0.231054
0.133,0.10016698,0.19629867,0.05111306,0.02652432,0.09314945,0.22853387,0.07056713,0.17579072,0.14526117,0.07988337,0.05436499,0.06478475,0.03861189,0.03096431,0.07017955,0.22355527
0.14,0.09659593,0.17940003,0.05201099,0.02486681,0.0887018,0.20791494,0.07105957,0.16431532,0.13725385,0.08163521,0.05628025,0.06448873,0.04124998,0.03746442,0.07412655,0.20638966
