NET	STA	CHA	LOC	STANAME	LAT	LON	ELEV	ONDATE	OFFDATE	EDEPTH	REALTIME
AZ	ASBS	HHE	--	"Asbestos Mountain, Riverside C"	33.6208	-116.4664	1400	4/24/96	6/17/97	0	
AZ	ASBS	HHN	--	"Asbestos Mountain, Riverside C"	33.6208	-116.4664	1400	4/24/96	6/17/97	0	
AZ	ASBS	HHZ	--	"Asbestos Mountain, Riverside C"	33.6208	-116.4664	1400	4/24/96	6/17/97	0	
AZ	BZN	BHE	--	"Buzz Northerns Place, Anza, CA"	33.4915	-116.667	1301	6/5/93	1/1/00	0	*realtime
AZ	BZN	BHN	--	"Buzz Northerns Place, Anza, CA"	33.4915	-116.667	1301	6/5/93	1/1/00	0	*realtime
AZ	BZN	BHZ	--	"Buzz Northerns Place, Anza, CA"	33.4915	-116.667	1301	3/7/93	1/1/00	0	*realtime
AZ	BZN	HHE	--	"Buzz Northerns Place, Anza, CA"	33.4915	-116.667	1301	6/5/93	1/1/00	0	*realtime
AZ	BZN	HHN	--	"Buzz Northerns Place, Anza, CA"	33.4915	-116.667	1301	6/5/93	1/1/00	0	*realtime
AZ	BZN	HHZ	--	"Buzz Northerns Place, Anza, CA"	33.4915	-116.667	1301	12/13/92	1/1/00	0	*realtime
AZ	BZN	HLE	--	"Buzz Northerns Place, Anza, CA"	33.4915	-116.667	1301	6/5/93	6/23/93	0	
AZ	BZN	HLN	--	"Buzz Northerns Place, Anza, CA"	33.4915	-116.667	1301	6/5/93	6/23/93	0	
AZ	BZN	HLZ	--	"Buzz Northerns Place, Anza, CA"	33.4915	-116.667	1301	3/7/93	6/23/93	0	
AZ	BZN	HNE	--	"Buzz Northerns Place, Anza, CA"	33.4915	-116.667	1301	1/12/02	1/1/00	0	*realtime
AZ	BZN	HNN	--	"Buzz Northerns Place, Anza, CA"	33.4915	-116.667	1301	1/12/02	1/1/00	0	*realtime
AZ	BZN	HNZ	--	"Buzz Northerns Place, Anza, CA"	33.4915	-116.667	1301	1/12/02	1/1/00	0	*realtime
AZ	BZN	LHE	--	"Buzz Northerns Place, Anza, CA"	33.4915	-116.667	1301	12/21/99	1/1/00	0	
AZ	BZN	LHN	--	"Buzz Northerns Place, Anza, CA"	33.4915	-116.667	1301	12/21/99	1/1/00	0	
AZ	BZN	LHZ	--	"Buzz Northerns Place, Anza, CA"	33.4915	-116.667	1301	12/21/99	1/1/00	0	
AZ	CPE	BHE	--	"Camp Elliot, Miramar, CA, USA"	32.8889	-117.1051	150	5/4/04	1/1/00	0	
AZ	CPE	BHN	--	"Camp Elliot, Miramar, CA, USA"	32.8889	-117.1051	150	5/4/04	1/1/00	0	
AZ	CPE	BHZ	--	"Camp Elliot, Miramar, CA, USA"	32.8889	-117.1051	150	5/4/04	1/1/00	0	
AZ	CPE	HHE	--	"Camp Elliot, Miramar, CA, USA"	32.8889	-117.1051	150	5/4/04	1/1/00	0	
AZ	CPE	HHN	--	"Camp Elliot, Miramar, CA, USA"	32.8889	-117.1051	150	5/4/04	1/1/00	0	
AZ	CPE	HHZ	--	"Camp Elliot, Miramar, CA, USA"	32.8889	-117.1051	150	5/4/04	1/1/00	0	
AZ	CPE	HNE	--	"Camp Elliot, Miramar, CA, USA"	32.8889	-117.1051	150	5/4/04	1/1/00	0	
AZ	CPE	HNN	--	"Camp Elliot, Miramar, CA, USA"	32.8889	-117.1051	150	5/4/04	1/1/00	0	
AZ	CPE	HNZ	--	"Camp Elliot, Miramar, CA, USA"	32.8889	-117.1051	150	5/4/04	1/1/00	0	
