station_id,station_name,station_sequence_no,station_id_no_nga,station_latitude,station_longitude,vs30_selected_for_analysis,new_z1_cvmsi,new_z25_cvmsi
299,Hollister Diff Array #1,-999,-999,-999,-999,-999,-999,-999
629,LA Dam,1,0,34.294,-118.483,628.99,320,3820
32,Buena Vista - Taft,2,1,35.16,-119.35,385.69,0,5740
28,2516 Via Tejon PV,3,411,33.801,-118.387,280.56,520,1580
163,Green Church,4,3,37.62,-118.82,353.2,0,3180
249,ALP (temp),5,4,36.0109,-120.253,467.03,0,6480
256,LLN (temp),6,5,36.2108,-120.263,486.67,0,7740
257,MIT (temp),7,6,36.2467,-120.263,344.17,0,7640
262,SGT (temp),8,7,36.2367,-120.381,481.07,0,6380
263,SUB (temp),9,8,36.3075,-120.251,270.41,0,7520
266,TRA (temp),10,9,36.1657,-120.309,246.51,0,7700
267,VEW (temp),11,10,36.2108,-120.313,456.13,0,7720
268,YUB (temp),12,11,36.1447,-120.171,287.34,0,7360
487,Gukasian,13,12,41.038,43.854,343.53,-999,-999
495,BRAN,14,13,37.047,-121.984,476.54,0,0
548,WAHO,15,14,36.972,-121.995,388.33,0,0
547,UCSC,16,15,37.001,-122.062,713.59,0,0
519,LGPC,17,16,37.172,-122.01,594.83,0,0
543,Stanford Park. Garage,18,17,37.432,-122.172,336.59,0,0
552,Ambralauri,19,18,42.5215,43.1549,399.61,-999,-999
554,Iri,20,19,42.517,43.551,437.72,-999,-999
555,Oni,21,20,42.583,43.44,392.67,-999,-999
553,Baz,22,21,42.5729,43.4363,476.62,-999,-999
556,Zem,23,22,42.522,43.305,432.58,-999,-999
573,Coolwater,24,23,34.851,-116.858,352.98,0,0
578,Lucerne,25,24,34.568,-116.612,1369,0,520
192,SMART1 C00,27,25,24.6738,121.765,309.41,-999,-999
193,SMART1 I06,28,26,24.6721,121.765,309.41,-999,-999
194,SMART1 I12,29,27,24.6755,121.764,275.82,-999,-999
195,SMART1 M01,30,28,24.6822,121.767,268.37,-999,-999
196,SMART1 M07,31,29,24.6649,121.762,327.61,-999,-999
197,SMART1 O01,32,30,24.6922,121.769,267.67,-999,-999
198,SMART1 O07,33,31,24.6561,121.762,314.33,-999,-999
274,SMART1 E01,34,32,24.6487,121.764,308.39,-999,-999
275,SMART1 E02,35,33,24.6296,121.761,671.52,-999,-999
166,USC Cash Baugh Ranch,36,34,37.679,-118.813,323.54,0,3340
164,Long Valley Fire Sta,37,35,37.568,-118.752,377.41,0,2760
165,Mammoth Elem School,38,36,37.639,-118.863,350.54,0,3420
167,USC McGee Creek Inn,39,37,37.586,-118.781,364.84,0,2900
171,USC Convict Lakes,40,40,37.595,-118.85,454.12,0,2940
168,Cashbaugh (CBR),41,41,37.679,-118.825,337.6,0,3420
169,Convict Lakes (CON),42,42,37.59,-118.853,472.2,0,2900
162,Fish & Game (FIS),43,43,37.614,-118.83,373.18,0,3120
170,Hot Creek (HCF),44,44,37.642,-118.85,295.93,0,3420
173,McGee Creek (MGE),45,45,37.561,-118.787,425.81,0,2640
174,USC McGee Creek,46,52,37.554,-118.798,653.56,0,2520
278,SMART1 M06,47,60,24.6651,121.768,308.39,-999,-999
277,SMART1 I07,48,61,24.672,121.764,309.41,-999,-999
276,SMART1 I01,49,62,24.6755,121.765,275.82,-999,-999
365,SMART1 O02,50,63,24.6871,121.778,285.09,-999,-999
366,SMART1 O04,51,64,24.6703,121.784,288.24,-999,-999
367,SMART1 O06,52,65,24.6565,121.771,293.46,-999,-999
368,SMART1 O08,53,66,24.6594,121.752,357.43,-999,-999
369,SMART1 O10,54,67,24.6779,121.745,320.11,-999,-999
370,SMART1 O12,55,68,24.691,121.759,303.36,-999,-999
87,Bajestan,56,69,34.51,58.18,377.56,-999,-999
88,Boshrooyeh,57,70,33.88,57.43,324.57,-999,-999
90,Ferdows,58,71,34.01,58.16,302.64,-999,-999
91,Kashmar,59,72,35.23,58.45,280.26,-999,-999
92,Sedeh,60,73,33.33,59.23,354.37,-999,-999
666,Sylmar - Converter Sta,61,74,34.311,-118.49,251.24,100,4280
667,Sylmar - Converter Sta East,62,75,34.312,-118.481,370.52,120,4380
653,Rinaldi Receiving Sta,63,77,34.281,-118.478,282.25,160,3820
665,Stone Canyon,64,78,34.1062,-118.454,621.93,320,320
557,Erzincan,65,95,39.75,39.5,352.05,-999,-999
579,Mission Creek Fault,66,100,33.905,-116.419,355.42,480,1720
29,Anza Post Office,67,103,33.5556,-116.674,360.45,0,1220
26,Santa Anita Dam,68,104,34.185,-118.018,667.13,20,1420
31,Borrego Springs Fire Sta,69,105,33.26,-116.37,338.54,140,1400
86,Cachuma Dam Toe,70,106,34.58,-119.98,465.51,0,0
33,Carbon Canyon Dam,71,108,33.9121,-117.838,235,360,2440
21,Cedar Springs Allen Ranch,72,111,34.2778,-117.335,813.48,0,1420
20,Cedar Springs Pumphouse,73,112,34.31,-117.3,477.22,0,1460
22,Colton - So Cal Edison,74,113,34.059,-117.312,301.95,200,580
4,El Centro Array #9,75,117,32.794,-115.549,213.44,380,2900
34,Fairmont Dam,76,121,34.704,-118.426,634.33,0,0
40,Lake Hughes #4,77,126,34.65,-118.478,600.06,0,0
632,Lake Hughes #4 - Camp Mend,78,24469,34.65,-118.478,600.06,0,0
41,Lake Hughes #9,79,127,34.608,-118.558,670.84,20,320
39,Lake Hughes #12,80,128,34.571,-118.56,602.1,20,320
17,LB - Terminal Island,81,130,33.77,-118.23,217.92,760,3040
46,Palmdale Fire Station,82,262,34.5781,-118.114,452.86,0,0
47,Pasadena - Old Seismo Lab,83,266,34.1486,-118.171,969.07,20,680
48,Pearblossom Pump,84,269,34.5083,-117.922,529.09,0,560
49,Port Hueneme,85,272,34.145,-119.206,248.98,680,3540
651,Port Hueneme - Naval Lab.,86,25281,34.145,-119.206,248.98,680,3540
25,Puddingstone Dam (Abutment),87,278,34.091,-117.808,421.44,160,320
45,Pacoima Dam (upper left abut),88,279,34.334,-118.396,2016.13,20,320
646,Pacoima Dam (upper left),89,24207,34.334,-118.396,2016.13,20,320
18,San Onofre - So Cal Edison,90,280,33.37,-117.56,442.88,0,1400
54,UCSB - Fluid Mech Lab,91,282,34.41,-119.85,322.42,0,3820
7,Santa Barbara Courthouse,92,283,34.423,-119.7,514.99,0,0
52,Santa Felita Dam (Outlet),93,285,34.46,-118.753,389,320,2160
138,Superstition Mtn Camera,94,286,32.955,-115.825,362.38,700,1200
55,Upland - San Antonio Dam,95,287,34.155,-117.675,487.23,160,1100
57,Whittier Narrows Dam,96,289,34.02,-118.053,298.68,40,2400
482,Whittier Narrows Dam upstream,97,289,34.02,-118.053,298.68,40,2400
1244,Whittier Narrows Dam downstream,98,289,34.02,-118.053,298.68,40,2400
27,Wrightwood - 6074 Park Dr,99,290,34.36,-117.63,486,0,1040
50,San Diego Gas & Electric,100,314,32.719,-117.163,354.06,0,0
1174,Lamont 362,101,362,40.67,30.666,517,-999,-999
1175,Lamont 375,102,375,40.743,30.876,454.2,-999,-999
121,El Centro Array #10,103,412,32.7806,-115.568,202.85,380,2920
51,San Juan Capistrano,104,465,33.4894,-117.671,459.37,0,2000
1176,Lamont 531,105,531,40.703,30.855,638.39,-999,-999
23,Devil's Canyon,106,620,34.21,-117.33,667.13,0,0
447,Norwalk - Imp Hwy S Grnd,107,634,33.915,-118.07,279.46,700,3820
624,LA - Sepulveda VA Hospital,108,637,34.2489,-118.479,380.06,360,3580
620,LA - Brentwood VA Hospital,109,638,34.063,-118.463,416.58,320,580
618,Jensen Filter Plant Administrative Building,110,655,34.312,-118.496,373.07,120,4220
448,Orange Co. Reservoir,111,697,33.9354,-117.884,415.69,360,2500
336,Lake Mathews Dike Toe,112,707,33.852,-117.451,592.42,0,0
401,Garvey Res. - Control Bldg,113,709,34.049,-118.112,468.18,440,2340
327,Colton Interchange - Vault,114,754,34.06,-117.3,274.98,320,1660
123,El Centro Array #12,115,931,32.718,-115.637,196.88,320,2620
384,Brea Dam (Downstream),116,951,33.89,-117.927,437.5,580,4080
385,Brea Dam (L Abut),117,951,33.8904,-117.926,437.5,580,4080
128,El Centro Array #5,118,952,32.855,-115.466,205.63,420,3380
127,El Centro Array #4,119,955,32.864,-115.432,208.91,580,3540
131,El Centro Array #8,120,958,32.811,-115.532,206.08,380,2960
36,Gormon - Oso Pump Plant,121,994,34.808,-118.72,308.35,0,1440
35,Fort Tejon,122,998,34.87,-118.9,394.18,0,0
489,APEEL 2 - Redwood City,123,1002,37.528,-122.256,133.11,0,0
30,Bakersfield - Harvey Aud,124,1004,35.37,-119.021,241.41,0,5280
13,Cholame - Shandon Array #2,125,1013,35.733,-120.29,184.75,0,4760
205,Parkfield - Cholame 2WA,126,36228,35.733,-120.29,173.02,0,4760
14,Cholame - Shandon Array #5,127,1014,35.697,-120.328,289.56,0,3820
210,Parkfield - Cholame 5W,128,36227,35.697,-120.328,236.59,0,3820
15,Cholame - Shandon Array #8,129,1015,35.671,-120.359,256.82,0,2060
212,Parkfield - Cholame 8W,130,36226,35.671,-120.359,256.82,0,2060
12,Cholame - Shandon Array #12,131,1016,35.639,-120.404,408.93,0,1060
202,Parkfield - Cholame 12W,132,36229,35.639,-120.404,359.03,0,1060
3,Ferndale City Hall,133,1023,40.576,-124.263,219.31,0,0
53,Tehachapi Pump,134,1027,34.9417,-118.827,669.48,0,740
10,Hollister City Hall,135,1028,36.85,-121.4,198.77,0,0
516,Hollister - SAGO Vault,136,1032,36.765,-121.446,621.2,0,0
38,Isabella Dam (Aux Abut),137,1035,35.644,-118.474,591,0,0
42,Maricopa Array #1,138,1041,35.997,-119.486,303.79,0,7780
43,Maricopa Array #2,139,1042,35.04,-119.429,443.85,0,4740
44,Maricopa Array #3,140,1043,35.078,-119.401,441.25,0,5080
65,Oroville Seismograph Station,141,1051,39.55,-121.5,680.37,0,0
