Station Sequence Number	Station Latitude	Station Longitude	Vs30 (m/s)	Z1.0 (m)	Z2.5 (m)	Station Name	BasinID	Basin - Non Basin Label			Num	Simulation name	Network	Code	Lat	Lon
80000072	33.236	-116.759	646.128	0	0	Lake Henshaw	0	PR			792	station.792	CI	SOF	33.37055	-117.5574
3046	33.268	-116.417	619	40	40	Borrego Springs	2	ABR			791	station.791	CI	SNS	33.43239	-117.55047
268	33.324	-116.683	442.7	0	1200	Puerta La Cruz	0	IER			707	station.707	CI	Q0010	33.44557	-117.63833
100181	33.3516	-116.562	682.03	20	20	Lost Valley Boy Scout Camp San Diego Co. Ca Usa	0	ABR			132	station.132	CE	13795	33.466	-117.667
3079	33.354	-116.863	465	0	0	Palomar	0	IER			100	station.100	CE	13070	33.4851	-117.6689
100098	33.3549	-118.444	756	0	0	Catalina Thompson Dam	0	I			779	station.779	CI	SJU	33.48725	-117.68114
100162	33.3882	-117.195	652.2	0	0	Capra Ranch	0	MVSMR			749	station.749	CI	QSD03	33.52641	-117.59882
100097	33.4019	-118.415	505	0	0	Catalina Island Airport	0	I			705	station.705	CI	Q0005	33.52795	-117.76808
80000142	33.4577	-117.171	581.985	0	0	"Santa Margarita Ecological Reserve, CA, USA"	0	MVSMR			772	station.772	CI	SDD	33.55259	-117.66171
100070	33.4805	-119.03	854	0	1140	Santa Barbara Island	0	I			244	station.244	CE	14901	33.562	-118.117
1286	33.482	-116.911	407.49	0	0	Radec - Sage & Cottonwood School	1	IER			124	station.124	CE	13364	33.585	-117.729
80000113	33.4914	-117.063	325	0	0	Pechanga	1	IER			607	station.607	CI	KML	33.59738	-117.87909
100544	33.4915	-116.667	681.2	0	1100	"Buzz Northern'S Place, Terwilliger, Ca, Usa"	0	IER			41	station.41	NP	5285	33.59953	-117.86686
80000047	33.4947	-116.602	562.002	20	20	Ford Ranch Anza CA USA	0	SJMR			136	station.136	CE	13876	33.604	-117.905
277	33.496	-117.149	416.15	0	0	Temecula - 6th & Mercedes	1	IER			105	station.105	CE	13097	33.6043	-117.2787
80000096	33.5039	-117.14	363.933	0	0	Moraga	0	IER			706	station.706	CI	Q0009	33.60458	-117.70477
80000167	33.5234	-116.426	638.577	20	20	Toro Peak Riverside Co CA USA	0	SJMR			137	station.137	CE	13877	33.6054	-117.8896
80000069	33.5519	-116.613	647.055	20	20	Jim Saunders Place Anza CA USA	0	SJMR			633	station.633	CI	LGC	33.607	-117.758
3085	33.553	-117.662	420.96	0	2120	Saddleback	0	MVSMR			36	station.36	NP	5246	33.61828	-117.87945
231	33.5558	-116.674	360.45	0	1220	Anza Fire Station	0	SJMR			778	station.778	CI	SJQ	33.62004	-117.84583
80000021	33.5654	-116.737	416.933	0	1300	"Cary Ranch, Anza, CA, USA"	0	IER			127	station.127	CE	13610	33.623	-117.931
80000039	33.5667	-116.631	361	20	20	Dunn Ranch	0	SJMR			126	station.126	CE	13589	33.624	-117.93
3054	33.567	-116.631	361	20	20	"Anza, Mitchell Rd."	0	IER			121	station.121	CE	13291	33.624	-117.929
80000109	33.573	-117.763	355.6	0	1900	Pacific Marine Mammal Center	0	MVSMR			111	station.111	CE	13160	33.6336	-117.9031
